question_text,correct_option,nivel_dificultad,category,points,option_a,option_b,option_c
¿Cuál es la isla más grande del mundo?,B,1,sociedad,10,Greenland,Isla de Baffin,Islas Ellesmere
¿En qué año se promulgó la Declaración de Derechos Humanos?,A,1,sociedad,10,1948,1950,1952
¿Quién es conocido como el "Padre de la Computación"?,C,1,sociedad,10,Alan Turing,Charles Babbage,Ada Lovelace
¿En qué año se inventó la imprenta?,A,1,sociedad,10,1440,1450,1460
¿Quién escribió 'Romeo y Julieta'?,C,1,sociedad,10,William Shakespeare,Jane Austen,Fiodor Dostoievski
¿Cuál es el país con la mayor población del mundo?,A,1,sociedad,10,China,India,Estados Unidos
¿En qué año se produjo la Revolución Industrial?,A,1,sociedad,10,1760,1820,1880
¿Cuál es la montaña más alta de América?,B,1,sociedad,10,Aconcagua,Denali,K2
¿Quién fue el autor de "El Principito"?,C,1,sociedad,10,Antoine de Saint-Exupéry,Franz Kafka,Gabriel García Márquez
¿Cuántos planetas hay en nuestro sistema solar?,A,1,sociedad,10,8,9,10
¿En qué año se firmó la Declaración de Independencia de Estados Unidos?,B,1,sociedad,10,1776,1789,1800
¿Quién pintó "La última cena"?,A,1,sociedad,10,Leonardo da Vinci,Miguel Ángel,Rafael
¿Cuántas estaciones tiene el año?,A,1,sociedad,10,4,3,5
¿En qué año se celebró la primera Copa Mundial de la FIFA?,A,1,sociedad,10,1930,1928,1940
¿Quién fue el primer ser humano en llegar al Polo Sur?,A,1,sociedad,10,Roald Amundsen,Robert Falcon Scott,Ernest Shackleton
¿Cuál es el país más grande de África?,A,1,sociedad,10,Argelia,República Democrática del Congo,Sudáfrica
¿En qué año se firmó el Tratado de Versalles?,A,1,sociedad,10,1919,1920,1921
¿Quién fue el autor de "1984"?,A,1,sociedad,10,George Orwell,Aldous Huxley,Ray Bradbury
¿Cuál es el desierto más grande del mundo?,A,1,sociedad,10,Desierto del Sahara,Desierto de Arabia,Desierto de Gobi
¿En qué año se inauguró el Canal de Panamá?,A,1,sociedad,10,1914,1918,1920
¿Quién fue el primer presidente de la República Popular China?,A,1,sociedad,10,Mao Zedong,Deng Xiaoping,Sun Yat-sen
¿Cuál es la moneda oficial de Australia?,A,1,sociedad,10,Dólar australiano,Euro,Lira turca
¿Quién escribió "Crimen y castigo"?,A,1,sociedad,10,Fiodor Dostoievski,León Tolstói,Alejandro Dumas
¿Cuántas patas tiene un arácnido?,B,1,sociedad,10,8,6,10
¿En qué año se inauguró la Torre Eiffel?,A,1,sociedad,10,1889,1890,1891
¿Cuál es el océano más pequeño del mundo?,A,1,sociedad,10,Océano Ártico,Océano Antártico,Océano Índico
¿En qué año se fundó la ciudad de Nueva York?,A,1,sociedad,10,1624,1700,1750
¿Quién fue el fundador de Apple Inc.?,A,1,sociedad,10,Steve Jobs,Bill Gates,Mark Zuckerberg
¿Cuántos huesos tiene el cuerpo humano adulto?,A,1,sociedad,10,206,208,210
¿En qué año se inventó la fotografía?,A,1,sociedad,10,1839,1845,1850
¿Quién escribió "Orgullo y prejuicio"?,A,1,sociedad,10,Jane Austen,Charlotte Brontë,Emily Brontë
¿Cuál es el país más pequeño de América Latina?,C,1,sociedad,10,El Salvador,Honduras,San Cristóbal y Nieves
¿En qué año se firmó el Tratado de Tordesillas?,A,1,sociedad,10,1494,1500,1510
¿Quién fue el líder de la Revolución Rusa?,A,1,sociedad,10,Vladimir Lenin,León Trotsky,José Stalin
¿Cuál es el lago más profundo del mundo?,A,1,sociedad,10,Lago Baikal,Lago Tanganica,Lago Superior
¿En qué año se celebró la independencia de Brasil?,A,1,sociedad,10,1822,1830,1845
¿Cuál es la moneda oficial de Japón?,A,1,sociedad,10,Yen,Won,Rupia
¿En qué continente se encuentra la Gran Barrera de Coral?,A,1,sociedad,10,Oceanía,Asia,África
¿Quién fue el líder del movimiento de derechos civiles en Estados Unidos en la década de 1960?,A,1,sociedad,10,Martin Luther King Jr.,Malcolm X,Nelson Mandela
¿Cuántos elementos químicos hay en la tabla periódica?,A,1,sociedad,10,118,100,150
¿En qué año se inauguró el Canal de Suez?,A,1,sociedad,10,1869,1875,1880
¿Quién fue el primer hombre en caminar sobre la Luna?,A,1,sociedad,10,Neil Armstrong,Buzz Aldrin,Yuri Gagarin
¿En qué año se firmó el Tratado de Paz de Westfalia?,A,1,sociedad,10,1648,1655,1660
¿Quién pintó "La noche estrellada"?,A,1,sociedad,10,Vincent van Gogh,Pablo Picasso,Claude Monet
¿Cuál es el desierto más árido del mundo?,A,1,sociedad,10,Atacama,Karakum,Sahara
¿En qué año se fundó la ciudad de Buenos Aires?,A,1,sociedad,10,1536,1600,1650
¿Cuál es el país más pequeño del mundo por superficie terrestre?,A,1,sociedad,10,Ciudad del Vaticano,Mónaco,San Marino
¿En qué año se produjo el descubrimiento de América por Cristóbal Colón?,A,1,sociedad,10,1492,1500,1510
¿Quién fue el presidente de Sudáfrica que lideró la lucha contra el apartheid?,A,1,sociedad,10,Nelson Mandela,FW de Klerk,Desmond Tutu
¿En qué año se celebró la Revolución Rusa?,A,1,sociedad,10,1917,1920,1925
¿Quién fue la primera mujer en ganar un Premio Nobel?,A,1,sociedad,10,Marie Curie,Rosa Luxemburgo,Emmeline Pankhurst
¿Cuál es la ciudad más poblada de India?,A,1,sociedad,10,Mumbai,Delhi,Kolkata
¿En qué año se proclamó la independencia de México?,A,1,sociedad,10,1810,1820,1830
¿Quién escribió "Romeo y Julieta"?,A,1,sociedad,10,William Shakespeare,Jane Austen,Fiodor Dostoievski
¿Cuál es la lengua más hablada del mundo?,A,1,sociedad,10,Chino mandarín,Español,Inglés
¿En qué año se celebró la Revolución Cubana?,A,1,sociedad,10,1959,1960,1965
¿En qué año se fundó la ciudad de Sydney?,A,1,sociedad,10,1788,1800,1825
¿Quién fue el primer faraón de Egipto?,A,1,sociedad,10,Narmer,Akenatón,Tutankamón
¿Cuál es la capital de Australia?,C,2,sociedad,15,Sídney,Melbourne,Canberra
¿Quién escribió "El Gran Gatsby"?,A,2,sociedad,15,F. Scott Fitzgerald,Ernest Hemingway,John Steinbeck
¿Cuál es el país más grande de Europa?,A,2,sociedad,15,Rusia,Alemania,Francia
¿En qué año se fundó la Organización de las Naciones Unidas (ONU)?,A,2,sociedad,15,1945,1950,1960
¿Quién fue el presidente de Estados Unidos durante la Guerra Civil?,A,2,sociedad,15,Abraham Lincoln,Andrew Johnson,Ulysses S. Grant
¿En qué año se adoptó la Declaración Universal de Derechos Humanos?,A,2,sociedad,15,1948,1950,1955
¿Quién fue la primera mujer en viajar al espacio exterior?,B,2,sociedad,15,Yuri Gagarin,Valentina Tereshkova,Neil Armstrong
¿Cuál es el río que pasa por París?,A,2,sociedad,15,Sena,Támesis,Danubio
¿En qué año se fundó la Liga de las Naciones?,A,2,sociedad,15,1920,1930,1935
¿Quién fue el líder de la Revolución Cubana junto a Fidel Castro?,A,2,sociedad,15,Che Guevara,Raúl Castro,Camilo Cienfuegos
¿En qué año se inventó la imprenta?,A,2,sociedad,15,1440,1450,1460
¿Quién fue la primera mujer en ganar un Premio Nobel de la Paz?,B,2,sociedad,15,Mother Teresa,Jane Addams,Wangari Maathai
¿Cuál es la ciudad más antigua del mundo aún habitada?,A,2,sociedad,15,Damasco,Jerusalén,Atenas
¿Quién fue el primer presidente de Sudáfrica elegido democráticamente?,A,2,sociedad,15,Nelson Mandela,F.W. de Klerk,Thabo Mbeki
¿Cuál es el país más pequeño de Asia?,A,2,sociedad,15,Maldivas,Singapur,Brunéi
¿En qué año se abolieron oficialmente la esclavitud en los Estados Unidos?,A,2,sociedad,15,1865,1870,1880
¿Cuál es el país más poblado de Europa?,B,2,sociedad,15,Rusia,Alemania,Francia
¿En qué año se fundó la ciudad de Toronto?,A,2,sociedad,15,1793,1800,1810
¿Quién fue el fundador de la Cruz Roja?,A,2,sociedad,15,Henry Dunant,Clara Barton,Redfield Proctor
¿En qué año se fundó la ciudad de México?,A,2,sociedad,15,1325,1400,1450
¿Cuál es la lengua más hablada en África?,B,2,sociedad,15,Árabe,Swahili,Francés
¿Quién fue el primer emperador de China?,A,2,sociedad,15,Qin Shi Huang,Han Wudi,Song Taizu
¿Cuál es la ciudad más poblada de América Latina?,A,2,sociedad,15,Ciudad de México,São Paulo,Buenos Aires
¿En qué año se proclamó la independencia de India?,A,2,sociedad,15,1947,1950,1955
¿Quién fue el líder de la Revolución Mexicana?,A,2,sociedad,15,Emiliano Zapata,Porfirio Díaz,Pancho Villa
¿En qué año se fundó la ciudad de Lima?,A,2,sociedad,15,1535,1600,1650
¿Cuál es el país más pequeño de Oceanía?,A,2,sociedad,15,Tuvalu,Nauru,Kiribati
¿En qué año se fundó la ciudad de Brasilia?,A,2,sociedad,15,1960,1970,1980
¿Quién fue el autor de "Don Quijote de la Mancha"?,A,2,sociedad,15,Miguel de Cervantes,Sor Juana Inés de la Cruz,Gabriel García Márquez
¿Cuál es la moneda de Sudáfrica?,A,2,sociedad,15,Rand,Libra,Euro
¿En qué año se celebró la Revolución de Mayo en Argentina?,A,2,sociedad,15,1810,1820,1830
¿Quién fue la primera mujer en ganar un Premio Nobel de Literatura?,A,2,sociedad,15,Selma Lagerlöf,Pearl S. Buck,Grazia Deledda
¿Cuál es el animal más grande del mundo?,A,2,sociedad,15,Ballena azul,Elefante,Girafa
¿Quién escribió "Matar a un ruiseñor"?,A,2,sociedad,15,Harper Lee,John Steinbeck,J.D. Salinger
¿En qué año se fundó la ciudad de Montreal?,A,2,sociedad,15,1642,1700,1750
¿Quién fue el primer presidente de la República Popular China?,C,1,sociedad,10,Mao Zedong,Sun Yat-sen,Chiang Kai-shek
¿Cuál es la lengua oficial de Irán?,A,1,sociedad,10,Persa,Kurdo,Árabe
¿Quién fue la primera mujer en el espacio exterior?,C,2,sociedad,15,Valentina Tereshkova,Sally Ride,Yuri Gagarin
¿En qué año se fundó la ciudad de Bogotá?,A,2,sociedad,15,1538,1600,1650
¿Quién fue el líder del movimiento por los derechos civiles en Estados Unidos que pronunció el discurso "Tengo un sueño"?,C,1,sociedad,10,Martin Luther King Jr.,Malcolm X,Rosa Parks
¿En qué año se creó la Unión Europea (UE)?,A,1,sociedad,10,1993,2000,2005
¿Cuál es la ciudad más poblada de África?,A,2,sociedad,15,Nigeria,Ciudad del Cabo,El Cairo
¿En qué año se proclamó la independencia de Bangladesh?,A,2,sociedad,15,1971,1980,1990
¿Quién fue el fundador del Imperio Mongol?,C,1,sociedad,10,Genghis Khan,Kublai Khan,Attila
¿Cuál es la moneda de Japón?,A,1,sociedad,10,Yen,Won,Rupia
¿En qué año se fundó la ciudad de Chicago?,A,2,sociedad,15,1833,1850,1870
¿Quién fue la primera mujer en ganar un Premio Nobel de Química?,C,1,sociedad,10,Marie Curie,Irène Joliot-Curie,Dorothy Crowfoot Hodgkin
¿Cuál es el río más largo de África?,A,1,sociedad,10,Río Nilo,Río Congo,Río Zambeze
¿En qué año se firmó la Declaración de Independencia de Estados Unidos?,B,1,sociedad,10,1776,1780,1790
¿Quién fue el primer presidente de México?,A,2,sociedad,15,Guadalupe Victoria,Vicente Guerrero,Agustín de Iturbide
¿Cuál es el país más pequeño de América del Norte?,A,2,sociedad,15,San Cristóbal y Nieves,Granada,Barbados
¿Quién fue el autor de "La Odisea"?,A,1,sociedad,10,Homero,Virgilio,Ovidio
¿Cuál es el océano más profundo del mundo?,A,2,sociedad,15,Océano Pacífico,Océano Atlántico,Océano Índico
¿En qué año se fundó la ciudad de Seattle?,A,2,sociedad,15,1851,1860,1870
¿Quién fue la primera mujer en recibir un Premio Nobel?,C,1,sociedad,10,Marie Curie,Rosa Luxemburgo,Emmeline Pankhurst
¿En qué año se celebró la Revolución Mexicana?,B,2,sociedad,15,1910,1920,1925
¿Quién fue el líder de la Revolución Rusa junto a Lenin?,C,1,sociedad,10,León Trotsky,Josef Stalin,Nicolás II
¿Cuál es la lengua más hablada en el mundo por número de hablantes nativos?,A,1,sociedad,10,Mandarín,Español,Inglés
¿En qué año se fundó la ciudad de Los Ángeles?,A,2,sociedad,15,1781,1800,1820
¿Quién fue el primer presidente de Brasil?,C,3,sociedad,20,Pedro I,Getúlio Vargas,Deodoro de Fonseca
¿Cuál es el país más grande de América del Sur?,A,1,sociedad,10,Brasil,Argentina,Colombia
¿Quién fue el autor de "Crimen y Castigo"?,A,3,sociedad,20,Fiodor Dostoievski,León Tolstói,Alejandro Dumas
¿Cuál es la capital de Canadá?,A,1,sociedad,10,Ottawa,Toronto,Montreal
¿Cuál es el país más grande de Asia?,A,1,sociedad,10,Rusia,China,India
¿En qué año se fundó la ciudad de Tokio?,A,3,sociedad,20,1457,1603,1700
¿Quién fue el autor de "La Ilíada"?,A,1,sociedad,10,Homero,Virgilio,Ovidio
¿En qué año se creó la ONU?,A,1,sociedad,10,1945,1950,1955
¿Cuál es la montaña más alta de Europa?,A,2,sociedad,15,Elbrús,Mont Blanc,Cervino
¿En qué año se fundó la ciudad de São Paulo?,A,3,sociedad,20,1554,1600,1650
¿Quién fue el autor de "Anna Karenina"?,A,1,sociedad,10,León Tolstói,Fiodor Dostoievski,Alejandro Dumas
¿En qué año se fundó la UNESCO?,A,1,sociedad,10,1945,1950,1955
¿Quién fue el primer emperador de Japón?,A,1,sociedad,10,Emperador Jimmu,Emperador Meiji,Emperador Hirohito
¿Cuál es el país más pequeño de África?,A,1,sociedad,10,Seychelles,Yibuti,Yibuti
¿En qué año se fundó la ciudad de Oslo?,A,3,sociedad,20,1048,1100,1150
¿Quién fue el autor de "El retrato de Dorian Gray"?,A,1,sociedad,10,Oscar Wilde,James Joyce,Samuel Beckett
¿Cuál es el río más largo de América del Sur?,A,1,sociedad,10,Río Amazonas,Río Paraná,Río Orinoco
¿En qué año se fundó la Liga Árabe?,A,1,sociedad,10,1945,1950,1955
¿En qué año se fundó la ciudad de Ámsterdam?,A,3,sociedad,20,1275,1300,1350
¿En qué año se fundó la ciudad de Nueva Delhi?,C,1,sociedad,10,1911,1920,1925
¿Cuál es la capital de Australia?,A,1,sociedad,10,Sídney,Melbourne,Camberra
¿Cuál es la moneda de Sudáfrica?,A,2,sociedad,15,Rand,Libra,Euro
¿Cuál es el animal más grande del mundo?,A,1,sociedad,10,Ballena azul,Elefante,Girafa
¿Quién escribió "Matar a un ruiseñor"?,A,2,sociedad,15,Harper Lee,John Steinbeck,J.D. Salinger
¿En qué año se fundó la ciudad de Montreal?,A,3,sociedad,20,1642,1700,1750
¿Quién fue el primer presidente de la República Popular China?,A,1,sociedad,10,Mao Zedong,Sun Yat-sen,Chiang Kai-shek
¿Cuál es la lengua oficial de Irán?,A,1,sociedad,10,Persa,Kurdo,Árabe
¿En qué año se lanzó el primer satélite artificial el Sputnik 1?,A,1,sociedad,10,1957,1960,1965
¿Quién fue la primera mujer en el espacio exterior?,A,2,sociedad,15,Valentina Tereshkova,Sally Ride,Yuri Gagarin
¿Cuál es el país más pequeño de América del Sur?,A,1,sociedad,10,Surinam,Guayana,French Guiana
¿En qué año se fundó la ciudad de Bogotá?,A,3,sociedad,20,1538,1600,1650
¿En qué año se fundó la ciudad de Estambul?,A,3,sociedad,20,660,800,1000
¿Quién escribió "Guerra y Paz"?,A,3,sociedad,20,León Tolstói,Fiodor Dostoievski,Alejandro Dumas
¿En qué año se creó la Unión Europea?,A,1,sociedad,10,1957,1960,1970
¿En qué año se fundó la ciudad de San Petersburgo?,A,3,sociedad,20,1703,1750,1800
¿En qué año se fundó la Organización de las Naciones Unidas (ONU)?,A,1,sociedad,10,1945,1950,1955
¿En qué año se fundó la ciudad de Viena?,A,3,sociedad,20,15 a.C.,100,500
¿En qué año se estableció la Declaración de Derechos Humanos de las Naciones Unidas?,A,2,sociedad,25,1948,1950,1955
¿En qué año se fundó la ciudad de Atenas?,B,1,sociedad,10,1400 a.C.,1200 a.C.,1000 a.C.
¿En qué año se fundó la ciudad de Berlín?,A,3,sociedad,20,1237,1300,1350
¿En qué año se fundó la ciudad de Río de Janeiro?,A,3,sociedad,20,1565,1600,1650
¿Quién escribió "El señor de los anillos"?,A,1,sociedad,10,J.R.R. Tolkien,C.S. Lewis,George R.R. Martin
¿Cuál es el río más largo de Oceanía?,A,3,sociedad,20,Río Murray,Río Darling,Río Brisbane
¿Cuál es el país más poblado del mundo?,A,1,sociedad,10,China,India,Estados Unidos
¿En qué año se fundó la ciudad de Moscú?,1,3,sociedad,20,1147,1200,1250
¿Quién escribió "El proceso"?,A,2,sociedad,15,Franz Kafka,Albert Camus,George Orwell
¿En qué año se estableció la Declaración Universal de Derechos Humanos?,B,3,sociedad,20,1948,1950,1955
¿Quién escribió "Rayuela"?,C,3,sociedad,20,Julio Cortázar,Gabriel García Márquez,Mario Vargas Llosa
¿En qué año se fundó la Liga de las Naciones Unidas?,B,3,sociedad,20,1920,1930,1940
¿Quién fue el emperador romano conocido como "El Filósofo"?,A,3,sociedad,20,Marcus Aurelius,Julio César,Nerón
¿En qué año se fundó la ciudad de Varsovia?,B,3,sociedad,20,1313,1400,1450
¿Quién escribió "La guerra y la paz"?,A,3,sociedad,20,León Tolstói,Fiodor Dostoievski,Alejandro Dumas
¿Cuál es el río más largo de Europa?,A,3,sociedad,20,Río Volga,Río Danubio,Río Rin
¿Quién fue el líder de la Revolución Cubana?,A,3,sociedad,20,Fidel Castro,Che Guevara,Raúl Castro
¿Cuál es la capital de Argentina?,A,3,sociedad,20,Buenos Aires,Rosario,Córdoba
¿Quién escribió "El lobo estepario"?,A,3,sociedad,20,Hermann Hesse,Franz Kafka,Thomas Mann
¿En qué año se firmó el Tratado de Maastricht?,A,3,sociedad,20,1992,1995,2000
¿Quién escribió "Crónica de una muerte anunciada"?,A,3,sociedad,20,Gabriel García Márquez,Mario Vargas Llosa,Julio Cortázar
¿En qué año se fundó la ciudad de Johannesburgo?,A,3,sociedad,20,1886,1900,1920
¿Quién escribió "La Metamorfosis"?,A,3,sociedad,20,Franz Kafka,Albert Camus,George Orwell
¿En qué año se estableció la Carta de Derechos de los Estados Unidos?,A,3,sociedad,20,1791,1800,1810
¿Quién fue el líder de la Revolución Bolchevique?,A,3,sociedad,20,Vladímir Lenin,Trotsky,Stalin
¿Cuál es la capital de México?,A,3,sociedad,20,Ciudad de México,Guadalajara,Monterrey
¿En qué año se fundó la Cruz Roja Internacional?,A,3,sociedad,20,1863,1870,1880
¿Quién fue el emperador romano conocido como "El Grande"?,A,3,sociedad,20,Augusto,Julio César,Marco Aurelio
¿En qué año se fundó la ciudad de Madrid?,A,3,sociedad,20,852,900,950
¿En qué año se fundó la Liga de Naciones?,A,3,sociedad,20,1920,1930,1940
¿Quién fue el emperador romano conocido como "El Sabio"?,A,3,sociedad,20,Marco Aurelio,Julio César,Calígula
¿Quién escribió "El extranjero"?,A,3,sociedad,20,Albert Camus,Franz Kafka,George Orwell
¿En qué año se fundó la Unión Europea?,B,3,sociedad,20,1951,1960,1970
¿Cuál es la capital de Estados Unidos?,A,3,sociedad,20,Washington D.C.,Nueva York,Los Ángeles
¿Cuál es el país más poblado de Asia?,A,3,sociedad,20,China,India,Rusia
¿En qué año se fundó la ciudad de Sídney?,A,3,sociedad,20,1788,1800,1820
¿Cuál es el río más largo de América del Norte?,A,3,sociedad,20,Río Missouri,Río Mississippi,Río Colorado
¿Quién escribió "En busca del tiempo perdido"?,A,3,sociedad,20,Marcel Proust,James Joyce,William Faulkner
¿Cuál es el país más pequeño de América Central?,A,3,sociedad,20,El Salvador,Honduras,Costa Rica
¿Quién escribió "1984"?,A,3,sociedad,20,George Orwell,Aldous Huxley,Ray Bradbury
¿Cuál es el país más poblado de África?,A,1,sociedad,10,Nigeria,Etiopía,Egipto
¿En qué año se fundó la ciudad de Ottawa?,A,1,sociedad,10,1826,1850,1875
¿Quién escribió "Don Quijote de la Mancha"?,A,1,sociedad,10,Miguel de Cervantes,Gabriel García Márquez,Lope de Vega
¿Quién fue el fundador del budismo?,A,1,sociedad,10,Siddhartha Gautama,Mahavira,Confucio
¿Quién escribió "El principito"?,A,1,sociedad,10,Antoine de Saint-Exupéry,Albert Camus,Franz Kafka
¿Cuál es el río más largo de Asia?,A,1,sociedad,10,Río Yangtsé,Río Amarillo,Río Mekong
¿En qué año se fundó la ciudad de Praga?,A,1,sociedad,10,870,900,950
¿En qué año se fundó la ciudad de Budapest?,A,1,sociedad,10,896,1000,1100
¿Cuál es el país más poblado de América Latina?,A,2,sociedad,15,Brasil,México,Argentina
¿En qué año se fundó la ciudad de Melbourne?,B,2,sociedad,15,1835,1850,1865
¿En qué año se fundó la ASEAN?,B,2,sociedad,15,1967,1970,1975
¿Quién fue el fundador del taoísmo?,C,2,sociedad,15,Lao Tsé,Zhuangzi,Confucio
¿Cuál es la capital de Australia?,A,2,sociedad,15,Sídney,Melbourne,Brisbane
¿En qué año se fundó la ciudad de Los Ángeles?,B,2,sociedad,15,1781,1800,1820
¿En qué año se fundó la SAARC?,B,2,sociedad,15,1985,1990,1995
¿Quién fue el segundo presidente de Estados Unidos?,A,2,sociedad,15,John Adams,George Washington,Thomas Jefferson
¿En qué año se fundó la ciudad de Roma?,A,2,sociedad,15,753 a.C.,700 a.C.,650 a.C.
¿Cuál es el país más pequeño de Europa?,A,2,sociedad,15,Vaticano,Mónaco,Andorra
¿En qué año se fundó la ciudad de Lisboa?,A,2,sociedad,15,1179,1200,1250
¿Quién escribió "Matar a un ruiseñor"?,C,2,sociedad,15,Harper Lee,Ernest Hemingway,F. Scott Fitzgerald
¿En qué año se fundó la UAECNA?,A,2,sociedad,15,1960,1970,1980
¿Cuál es el país más pequeño del mundo?,A,2,sociedad,15,Ciudad del Vaticano,Mónaco,San Marino
¿Cuál es el monte más alto del mundo?,A,3,sociedad,20,Mount Everest,K2,Kangchenjunga
¿En qué año se fundó la ciudad de Estocolmo?,A,3,sociedad,20,1252,1300,1350
¿Quién escribió "La Ilíada" y "La Odisea"?,C,3,sociedad,20,Homero,Virgilio,Esquilo
¿En qué año se creó la OTAN?,A,3,sociedad,20,1949,1954,1959
¿Quién fue el fundador del taoísmo?,C,3,sociedad,20,Lao Tsé,Zhuangzi,Confucio
¿En qué año se fundó la ONU?,A,3,sociedad,20,1945,1950,1955
¿Quién fue el tercer presidente de Estados Unidos?,C,3,sociedad,20,Thomas Jefferson,John Adams,George Washington
¿Cuál es la capital de Francia?,A,3,sociedad,20,París,Lyon,Marsella
¿Cuál es el país más pequeño de Europa?,A,3,sociedad,20,Vaticano,Mónaco,Andorra
¿Quién escribió "Matar a un ruiseñor"?,C,3,sociedad,20,Harper Lee,Ernest Hemingway,F. Scott Fitzgerald
¿Cuál es la capital de Sudáfrica?,A,3,sociedad,20,Pretoria,Durban,Johannesburgo
¿En qué año se fundó la Unión Africana?,A,3,sociedad,20,2001,2005,2010
¿Cuál es la capital de Italia?,A,3,sociedad,20,Roma,Milán,Florencia

¿En qué año comenzó la Revolución Francesa?,A,1,historia,10,1789,1799,1809
¿Quién fue el primer presidente de Estados Unidos?,A,1,historia,10,George Washington,Thomas Jefferson,John Adams
¿En qué año se firmó el Tratado de Versalles?,A,1,historia,10,1919,1929,1939
¿Cuál fue la civilización antigua que se desarrolló en el Valle del Indo?,A,1,historia,10,Civilización del Valle del Indo,Civilización Mesopotámica,Civilización Egipcia
¿Quién fue el líder de la Revolución Rusa?,A,1,historia,10,Vladímir Lenin,Trotsky,Stalin
¿En qué año se declaró la independencia de México?,A,1,historia,10,1810,1820,1830
¿Cuál fue la batalla que marcó el final de las Guerras Napoleónicas?,A,1,historia,10,Batalla de Waterloo,Batalla de Leipzig,Batalla de Austerlitz
¿Quién fue el emperador romano conocido como "El Grande"?,A,1,historia,10,Augusto,Julio César,Marco Aurelio
¿En qué año terminó la segunda guerra mundial en Europa?,A,1,historia,10,1945,1940,1950
¿Cuál fue la primera dinastía de China?,A,1,historia,10,Dinastía Xia,Dinastía Han,Dinastía Ming
¿Quién fue el líder militar de la independencia de Argentina Chile y Perú?,A,1,historia,10,Simón Bolívar,Jose de San Martin,Bernardo O'Higgins
¿En qué año se firmó la Declaración de Independencia de Estados Unidos?,A,1,historia,10,1776,1780,1790
¿Cuál fue la antigua capital del Imperio Romano?,A,1,historia,10,Roma,Atenas,Constantinopla
¿Quién fue el faraón más famoso de Egipto?,A,1,historia,10,Cleopatra,Ramsés II,Tutankamón
¿En qué año se inició la primera guerra mundial?,A,1,historia,10,1914,1918,1920
¿Cuál era el nombre original de la ciudad de Estambul?,A,1,historia,10,Constantinopla,Byzantium,Troya
¿Quién fue el fundador del Imperio Mongol?,A,1,historia,10,Genghis Khan,Kublai Khan,Attila
¿En qué año se firmó la Declaración de Independencia de Venezuela?,A,1,historia,10,1811,1821,1831
¿Cuál fue la primera civilización en la antigua Mesopotamia?,A,1,historia,10,Sumeria,Babilonia,Asiria
¿Quién fue el rey que lideró la expedición de la Armada Invencible?,A,1,historia,10,Felipe II,Carlos I,Isabel I
¿En qué año se llevó a cabo la Revolución Rusa de Octubre?,A,1,historia,10,1917,1918,1920
¿Cuál fue el último faraón de Egipto?,A,1,historia,10,Cleopatra,Nefertiti,Akenatón
¿Quién fue el líder militar de la independencia de México?,A,1,historia,10,Miguel Hidalgo,José María Morelos,Agustín de Iturbide
