cuadro,autor,year,description,option_a,option_b,option_c,image
La danza,Henri Matisse,1910,Una representación colorida y expresiva de figuras danzantes que refleja la energía y la vitalidad,Henri Matisse,Peter Paul Rubens,John Constable,images/culturizateApp/la_danza.jpeg
La Temeraire combatiente,J.M.W. Turner,1839,Un paisaje marino que muestra un barco de guerra victorioso simbolizando la gloria y la valentía,J.M.W. Turner,John Constable,Claude Monet,images/la_temeraire_combatiente.jpeg
El carro de heno,John Constable,1821,Una pintura paisajística que destaca un paisaje rural con un carro de heno capturando la serenidad del campo,John Constable,J.M.W. Turner,Claude Monet,images/la_carreta_de_heno.jpeg
Los nenúfares,Claude Monet,1919,Una serie de pinturas que representan nenúfares en diferentes momentos y condiciones de luz,Claude Monet,John Constable,Peter Paul Rubens,images/los_nenufares.jpeg
El autorretrato con sombrero de paja,Frida Kahlo,1941,Una representación auténtica y emotiva de la artista mexicana Frida Kahlo con un sombrero de paja,Frida Kahlo,René Magritte,Pablo Picasso,images/el_autorretrato_con_sombrero_de_baja.jpeg
El hombre del sombrero de paja,René Magritte,1964,Una obra surrealista que presenta a un hombre con el rostro oculto por un sombrero de paja,René Magritte,Pablo Picasso,Frida Kahlo,images/el_hombre_del_sombrero_de_paja.jpeg
El jugador de guitarra,Pablo Picasso,1910,Una obra cubista que representa a un hombre tocando la guitarra con formas geométricas distintivas,Pablo Picasso,Frida Kahlo,René Magritte,images/el_viejo_de_la_guitarra.jpeg
La mujer llorando,Pablo Picasso,1937,Una obra expresionista que muestra el dolor y la tristeza de una mujer reflejando las emociones intensas,Pablo Picasso,Frida Kahlo,René Magritte,images/la_mujer_llorando.jpeg
El jinete azul,Wassily Kandinsky,1903,Una obra abstracta que representa a un jinete y su caballo en tonos azules vibrantes,Wassily Kandinsky,Kazimir Malevich,Peter Paul Rubens,images/el_jinete_azul.jpg
El cuadrado negro,Kazimir Malevich,1915,Una pintura suprematista que simboliza la reducción del arte a sus elementos básicos,Kazimir Malevich,Peter Paul Rubens,Wassily Kandinsky,images/el_cuadrado_negro.jpeg
La gran ola de Kanagawa,Katsushika Hokusai,1831,Una impresionante representación de una ola gigante en el Monte Fuji,Katsushika Hokusai,Edvard Munch,Peter Paul Rubens,images/la_gran_ola.jpeg
El sueño,Pablo Picasso,1932,Una obra surrealista que explora el mundo de los sueños y la imaginación,Pablo Picasso,Salvador Dalí,Katsushika Hokusai,images/el_sueno.jpeg
Las dos Fridas,Frida Kahlo,1939,Un autorretrato que representa dos versiones de Frida Kahlo simbolizando su dualidad,Frida Kahlo,René Magritte,Pablo Picasso,images/las_dos_fridas.jpeg

